17
16691284157604, -17253202726444, 9574078574404, 13489416402932, 1600493669092, 6966316874516, 20532432904068, -13281292287180, -18995859516124, 3796888442964, -5382698527804, 16996956832372, -20053693283484, -21292184729196, 300368366596, -3444956187212, -3779626625628
-7815283902776, -9476207459544, -3732268677112, -42079475983512, 10649651583816, 29614288489896, 8805547442312, -7912800556568, 7603088558024, -8331294179288, 2816769360136, 2202980130920, 7239409613896, -3519753856344, 416769345928, 477384261352, -3084051629880
10845234448258, 5723629272666, -32394808334254, -16001461086486, 9669754387874, 15598821771770, 2862001281906, -27618277926006, 19980676855234, 7047430500250, -34823666737006, -2095453779414, -3288845529118, -302594879686, -184489404494, 7405748552394, 994436033538
8338043711476, 24669832061668, 3096023741204, 1339667691396, -3829667939532, -3689604420316, -30743088803756, -8220267500604, 641367063156, 38510021548900, -39669682601580, -2933432212476, 12618158927284, 8797007080868, 117612414676, 2300364480580, -4392113793804
-24653990591439, 7182135316189, -2306235850215, -30689982383451, -14458453723583, 17104059023277, 19787353623209, -1040264503307, 6504309979473, 20301086059901, 6414904880185, 1839312751173, -1269147722399, -24231014160307, 107795470025, 2810893928853, 9948341957233
8064333777689, 21038759489445, -17258192337087, 15817815162029, 16584599602089, 37308240127221, -38881497376175, -10064017425795, 10926401189177, -13285350990011, -22974813254047, 7027041568077, 37226666684361, 7588809813653, 283926705009, 2450926136605, -3171981393063
35003335260660, 12431039587556, -13842293699308, 7608380475780, 6388388619572, 1873763487524, -23359537575340, 22494309604804, 16122640794740, -30538976125596, -6185980961900, -2628081224188, -19463058597964, -2047338934364, -1190208274220, -2420909157820, 4263521525492
-13456743311490, 31921448973478, 8681943387822, -34903745997802, -5554579861154, -22618531342074, -176140956786, 30761352675190, -765239195330, 3020387525478, -28961022888338, 13762447835350, -11035871338722, 3292021994438, 569106952014, -5147829733322, -533256129794
-16224764325509, -4575501651105, 33936915921267, -11629608433673, -9089211347413, -4010231403953, -10593608221277, 21389924577383, -2839279295013, -1016725839809, -27825531906861, -6285915820073, 21637553899659, 8633591285039, 1211464789763, 7970137323079, 2104390510139
6674714629448, -15155666337880, -13603230971256, 36279758269416, -3449166126648, -1237912677848, -35443956962552, 24352287392360, -24726161263032, -4354706928472, -20699385965688, 17621424357608, -24270511729976, 4920542015272, 1275111441416, -2375292590232, -1487309736120
-1684775870248, -11665278809096, 42517755603096, -7356171560776, 12404354094680, -28412110892168, -15507442165224, 13988057033784, -19219845307432, 5243024954104, -35111124098152, 27304221685688, -13270861084328, -56425248136, -686582708968, -2487680500936, 6230122841816
-24179384778527, -29076502706739, -39395819968951, -8879517539563, 10174578003441, 186989278621, 9276612977113, 1959185735525, -41949550814207, 8886831452781, 18883513566825, -7721613897547, -1199243068655, 14916512263229, -1050653252615, 261341218565, 776874359585
14408164060809, -39762644769195, -582794055631, 4762877283037, -11989378929127, 8755923310245, 5622919176769, 39854957951917, 17232603780777, -18859371037707, -1886311291567, 16142584605053, 7175771535417, 5802235995717, 437842954593, -5834511915955, 1591285179081
-18845060522773, 3408183292431, 11782818990691, 34159859654183, -7704965439333, 26041474393087, -26289646539373, 43253294381463, -2932139544757, -15878765771537, 8402913809347, -1338645292025, -24432741385989, 2381594985695, -392580567821, 2900071691639, -1743929102933
-9601227230875, 24653690930689, -9926260624275, 26517146435689, 15712976536245, 28326890325265, -4798830956995, -9784542953991, 16183523268869, 40696518927649, -12272572156659, -24406914612087, -36886235429803, -25176576133583, 592567163101, -3346771123175, 2065386837157
25265823945750, 20647662735710, -1603273287418, 16168567507854, 34070617882486, 2963067717950, 19968749593446, 686372386414, 9533197926614, 23035939905310, -16459576970298, 2935820758862, 35714326313014, 4392748446462, 1289722309158, 4390746232366, -1464380734058
-21297325867282, -2038058295466, 2573342989214, -12292377643450, -4241392975922, -10414816411978, -36252544452738, 4225715524774, 13671817326254, 14028121486358, 11681852453214, -225400538874, 8676061883278, -41463631437962, -267939780290, 9870339310438, 2852387460718

211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 211106232532992, 279275953455104, 263882790666240, 263882790666240
0, 11, 277363943098, 11718085204285, 49720483695876, 102626409374399, 25707281917278, 25979478236433, 137139456763464, 148267022728371, 127911637363266, 65633894156837, 233987836661708, 262259097190887, 159894566279526, 156526639281273, 14307911880080
